HCPCS,DESCRIPTION,RVU,FACTOR
A0021,Outside state ambulance serv,0.00,36.0896
A0080,Noninterest escort in non er,0.00,36.0896
A0090,Interest escort in non er,0.00,36.0896
A0100,Nonemergency transport taxi,0.00,36.0896
A0110,Nonemergency transport bus,0.00,36.0896
A0120,Noner transport mini-bus,0.00,36.0896
A0130,Noner transport wheelch van,0.00,36.0896
A0140,Nonemergency transport air,0.00,36.0896
A0160,Noner transport case worker,0.00,36.0896
A0170,Transport parking fees/tolls,0.00,36.0896
A0180,Noner transport lodgng recip,0.00,36.0896
A0190,Noner transport meals recip,0.00,36.0896
A0200,Noner transport lodgng escrt,0.00,36.0896
A0210,Noner transport meals escort,0.00,36.0896
A0225,Neonatal emergency transport,0.00,36.0896
A0380,Basic life support mileage,0.00,36.0896
A0382,Basic support routine suppls,0.00,36.0896
A0384,Bls defibrillation supplies,0.00,36.0896
A0390,Advanced life support mileag,0.00,36.0896
A0392,Als defibrillation supplies,0.00,36.0896
A0394,Als iv drug therapy supplies,0.00,36.0896
A0396,Als esophageal intub suppls,0.00,36.0896
A0398,Als routine disposble suppls,0.00,36.0896
A0420,Ambulance waiting 1/2 hr,0.00,36.0896
A0422,Ambulance 02 life sustaining,0.00,36.0896
A0424,Extra ambulance attendant,0.00,36.0896
A0425,Ground mileage,0.00,36.0896
A0426,Als 1,0.00,36.0896
A0427,Als1-emergency,0.00,36.0896
A0428,Bls,0.00,36.0896
A0429,Bls-emergency,0.00,36.0896
A0430,Fixed wing air transport,0.00,36.0896
A0431,Rotary wing air transport,0.00,36.0896
A0432,Pi volunteer ambulance co,0.00,36.0896
A0433,Als 2,0.00,36.0896
A0434,Specialty care transport,0.00,36.0896
A0435,Fixed wing air mileage,0.00,36.0896
A0436,Rotary wing air mileage,0.00,36.0896
A0888,Noncovered ambulance mileage,0.00,36.0896
A0998,Ambulance response/treatment,0.00,36.0896
A0999,Unlisted ambulance service,0.00,36.0896
A4206,1 cc sterile syringe&needle,0.00,36.0896
A4207,2 cc sterile syringe&needle,0.00,36.0896
A4208,3 cc sterile syringe&needle,0.00,36.0896
A4209,5+ cc sterile syringe&needle,0.00,36.0896
A4210,Nonneedle injection device,0.00,36.0896
A4211,Supp for self-adm injections,0.00,36.0896
A4212,Non coring needle or stylet,0.00,36.0896
A4213,20+ cc syringe only,0.00,36.0896
A4215,Sterile needle,0.00,36.0896
A4216,"Sterile water/saline, 10 ml",0.00,36.0896
A4217,"Sterile water/saline, 500 ml",0.00,36.0896
A4218,Sterile saline or water,0.00,36.0896
A4220,Infusion pump refill kit,0.00,36.0896
A4221,Supp non-insulin inf cath/wk,0.00,36.0896
A4222,Infusion supplies with pump,0.00,36.0896
A4223,Infusion supplies w/o pump,0.00,36.0896
A4224,Supply insulin inf cath/wk,0.00,36.0896
A4225,Sup/ext insulin inf pump syr,0.00,36.0896
A4226,Weekly supply maint cgs pump,0.00,36.0896
A4230,Infus insulin pump non needl,0.00,36.0896
A4231,Infusion insulin pump needle,0.00,36.0896
